,oid,c,sectionId,EP_1,EP_2
1,1,1,103,103,103
2,1,2,99,99,101
3,1,3,102,102,102
4,1,4,105,105,97
5,1,5,100,100,100
6,1,6,103,103,103
7,1,7,106,106,106
8,1,8,101,101,101
9,1,9,101,101,101
10,1,1,97,97,97
11,1,2,100,100,100
12,1,3,103,103,106
13,1,4,98,104,98
14,1,5,101,105,101
15,1,6,104,104,104
16,1,7,99,99,99
17,1,8,1,1,1
18,1,9,0,0,0
19,1,1,3,3,3
20,1,2,1,1,1
21,1,3,4,4,4
22,1,4,2,2,2
23,1,5,5,5,5
24,1,6,1,1,1
25,1,7,1,1,1
26,1,8,0,0,0
27,1,9,3,3,3
28,1,1,1,1,1
29,1,2,4,4,4
30,1,3,2,2,2
31,1,4,5,5,5
32,1,5,1,1,1
33,1,6,1,1,1
34,1,7,0,0,0
35,1,8,3,3,3
36,1,9,1,1,1
37,1,1,4,4,4
38,1,2,2,2,2
39,1,3,5,5,5
40,1,4,1,1,1
41,1,5,101,101,101
42,1,6,97,97,97
43,1,7,100,100,100
44,1,8,103,103,103
45,1,9,98,98,98
46,1,1,101,101,101
47,1,2,104,104,104
48,1,3,99,99,99
49,1,4,202,202,202
50,1,5,198,198,198
51,1,6,201,201,201
52,1,7,204,204,204
53,1,8,199,199,199
54,1,9,202,202,202
55,1,1,205,205,205
56,1,2,200,200,200
57,1,3,403,403,403
58,1,4,399,399,399
59,1,5,402,402,402
60,1,6,405,405,405
61,1,7,400,400,400
62,1,8,403,403,403
63,1,9,406,406,406
64,1,1,401,401,401
65,1,2,904,904,904
66,1,3,900,900,900
67,1,4,903,903,903
68,1,5,906,906,906
69,1,6,901,901,901
70,1,7,904,904,904
71,1,8,907,907,907
72,1,9,902,902,902
73,1,1,1705,1705,1705
74,1,2,1701,1709,1701
75,1,3,1704,1704,1704
76,1,4,1707,1707,1712
77,1,5,1702,1702,1713
78,1,6,1705,1705,1714
79,1,7,1708,1708,1715
80,1,8,1703,1703,1703
81,1,9,2707,2707,2707
82,1,1,2703,2703,2703
83,1,2,2706,2706,2706
84,1,3,2709,2709,2709
85,1,4,2704,2704,2704
86,1,5,2707,2705,2707
87,1,6,2710,2710,2710
88,1,7,2705,2705,2705
89,1,8,4008,4008,4008
90,1,9,4004,4004,4004
91,1,1,4007,4007,4007
92,1,2,4010,4010,4010
93,1,3,4005,4005,4005
94,1,4,4008,4008,4015
95,1,5,4011,4011,4016
96,1,6,4006,4006,4017
97,1,7,5308,5308,4018
98,1,8,5304,5304,5304
99,1,9,5307,5307,5307
100,1,1,5310,5310,5310
101,1,2,5305,5305,5305
102,1,3,5308,5308,5308
103,1,4,5311,5311,5311
104,1,5,5306,5306,5306
105,1,6,6708,6708,6708
106,1,7,6704,6704,6704
107,1,8,6707,6707,6707
108,1,9,6710,6710,6710
109,1,1,6705,6705,6705
110,1,2,6708,6708,6708
111,1,3,6711,6711,6711
112,1,4,6706,6706,6706
113,1,5,7906,7906,7906
114,1,6,7902,7902,7902
115,1,7,7905,7905,7905
116,1,8,7908,7908,7908
117,1,9,7903,7903,7108
118,1,1,7906,7906,7906
119,1,2,7909,7909,7909
120,1,3,7904,7904,7904
121,1,4,8803,8803,8803
122,1,5,8799,8799,8799
123,1,6,8802,8802,8802
124,1,7,8805,8805,8809
125,1,8,8800,8800,8800
126,1,9,8803,8803,8803
127,1,1,8806,8806,8806
128,1,2,8801,8801,8801
129,1,3,9402,9402,9402
130,1,4,9398,9398,9398
131,1,5,9401,9401,9401
132,1,6,9404,9404,9404
133,1,7,9399,9399,9399
134,1,8,9402,9402,9402
135,1,9,9405,9405,9405
136,1,1,9400,9400,9400
137,1,2,9701,9701,9701
138,1,3,9697,9697,9697
139,1,4,9700,9700,9700
140,1,5,9703,9703,9703
141,1,6,9698,9698,9698
142,1,7,9701,9701,9701
143,1,8,9704,9704,9704
144,1,9,9699,9699,9699
145,1,1,9901,9901,9901
146,1,2,9897,9897,9897
147,1,3,9900,9900,9900
148,1,4,9903,9903,9903
149,1,5,9898,9898,9898
150,1,6,9901,9901,9901
151,1,7,9904,9904,9904
152,1,8,9899,9899,9899
153,1,9,9900,9900,9900
154,1,1,9896,9896,9896
155,1,2,9899,9899,9899
156,1,3,9902,9902,9902
157,1,4,9897,9897,9897
158,1,5,9900,9900,9900
159,1,6,9903,9903,9903
160,1,7,9898,9898,9898
161,1,8,9800,9800,9800
162,1,9,9796,9796,9801
163,1,1,9799,9799,9799
164,1,2,9802,9802,9802
165,1,3,9797,9797,9797
166,1,4,9800,9800,9800
167,1,5,9803,9803,9803
168,1,6,9798,9798,9798
169,1,7,9700,9700,9700
170,1,8,9696,9696,9696
171,1,9,9699,9699,9699
172,1,1,9702,9702,9702
173,1,2,9697,9697,9697
174,1,3,9700,9700,9700
175,1,4,9703,9703,9703
176,1,5,9698,9698,9698
177,1,6,9103,9103,9103
178,1,7,9099,9099,9099
179,1,8,9102,9102,9102
