,oid,ent,sectionId,EP_1,EP_2
1,1,1,3134,3134,3134
2,1,2,3130,3130,3130
3,1,3,3133,3133,3133
4,1,4,3136,3138,3135
5,1,5,3131,3131,3131
6,1,6,3134,3134,3134
7,1,7,3137,3137,3137
8,1,8,3132,3132,3132
9,1,9,2933,2933,2933
10,1,1,2929,2929,2929
11,1,2,2932,2932,2932
12,1,3,2935,2935,2935
13,1,4,2930,2930,2930
14,1,5,2933,2933,2933
15,1,6,2936,2936,2936
16,1,7,2931,2931,2931
17,1,8,2832,2832,2832
18,1,9,2828,2828,2828
19,1,1,2831,2831,2831
20,1,2,2834,2834,2834
21,1,3,2829,2829,2829
22,1,4,2832,2830,2832
23,1,5,2835,2835,2835
24,1,6,2830,2830,2830
25,1,7,2831,2831,2831
26,1,8,2827,2827,2827
27,1,9,2830,2830,2830
28,1,1,2833,2833,2833
29,1,2,2828,2828,2828
30,1,3,2831,2831,2831
31,1,4,2834,2834,2834
32,1,5,2829,2829,2829
33,1,6,2831,2831,2831
34,1,7,2827,2827,2827
35,1,8,2830,2830,2830
36,1,9,2833,2833,2833
37,1,1,2828,2832,2828
38,1,2,2831,2831,2831
39,1,3,2834,2834,2834
40,1,4,2829,2829,2829
41,1,5,2830,2830,2830
42,1,6,2826,2826,2826
43,1,7,2829,2829,2829
44,1,8,2832,2832,2832
45,1,9,2827,2827,2827
46,1,1,2830,2830,2830
47,1,2,2833,2833,2833
48,1,3,2828,2828,2828
49,1,4,2929,2929,2929
50,1,5,2925,2925,2925
51,1,6,2928,2928,2928
52,1,7,2931,2935,2931
53,1,8,2926,2926,2926
54,1,9,2929,2929,2929
55,1,1,2932,2932,2932
56,1,2,2927,2927,2927
57,1,3,2929,2929,2929
58,1,4,2925,2925,2925
59,1,5,2928,2928,2928
60,1,6,2931,2931,2931
61,1,7,2926,2926,2926
62,1,8,2929,2929,2929
63,1,9,2932,2932,2932
64,1,1,2927,2927,2927
65,1,2,2928,2928,2928
66,1,3,2924,2924,2924
67,1,4,2927,2927,2927
68,1,5,2930,2930,2930
69,1,6,2925,2925,2925
70,1,7,2928,2928,2928
71,1,8,2931,2931,2931
72,1,9,2926,2926,2926
73,1,1,2928,2928,2928
74,1,2,2924,2924,2924
75,1,3,2927,2927,2927
76,1,4,2930,2930,2930
77,1,5,2925,2925,2925
78,1,6,2928,2928,2928
79,1,7,2931,2931,2931
80,1,8,2926,2926,2926
81,1,9,3027,3027,3027
82,1,1,3023,3023,3023
83,1,2,3026,3026,3026
84,1,3,3029,3029,3029
85,1,4,3024,3024,3024
86,1,5,3027,3027,3027
87,1,6,3030,3030,3030
88,1,7,3025,3025,3025
89,1,8,3027,3027,3027
90,1,9,3023,3023,3023
91,1,1,3026,3026,3026
92,1,2,3029,3029,3029
93,1,3,3024,3024,3024
94,1,4,3027,3027,3027
95,1,5,3030,3030,3030
96,1,6,3025,3025,3025
97,1,7,3328,3328,3328
98,1,8,3324,3324,3324
99,1,9,3327,3327,3327
100,1,1,3330,3330,3330
101,1,2,3325,3325,3325
102,1,3,3328,3328,3328
103,1,4,3331,3331,3331
104,1,5,3326,3326,3326
105,1,6,3629,3629,3629
